GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Config.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Config.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_Config.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_Config.new WindowAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador,79,832,5,7,21,164,8,19,5,16
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Tablero.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,StatsInGame,29,0,0,0,9,0,4,0,4,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionModo,82,397,4,0,22,69,8,9,6,9
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil,4018,0,238,0,655,0,190,0,71,0
Damas_Chinas,com.mycompany.pantalla_home,Pantalla_Home,6,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Config,70,265,4,2,17,50,5,10,3,9
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual,116,1157,8,16,32,230,12,30,7,23
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad,80,470,4,0,22,82,8,12,6,12
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginMultijugador.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Music,8,14,0,0,4,6,2,3,2,3
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_Stats,66,298,4,0,15,52,3,8,1,8
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Usuario,16,62,2,10,5,18,4,10,2,6
Damas_Chinas,com.mycompany.pantalla_home,Vista_LoginIndividual.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionDificultad.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Singleton,0,59,1,3,0,19,1,5,0,4
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Music_Juego,8,0,0,0,3,0,1,0,1,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Music_Home,7,31,1,1,3,9,1,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Music_Game,9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Singleton_BD,95,231,4,22,19,48,5,20,3,9
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_Home.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_Stats.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Stats.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Music_Nav,0,8,0,0,0,3,0,1,0,1
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_SeleccionTableroModoFacil.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Damas_Chinas,com.mycompany.pantalla_home,Vista_Tablero,190,0,4,0,43,0,6,0,4,0
